Student,LPIPS,SSIM
112590018.jpg,0.0,1.0
112590051.jpg,0.42954355478286743,0.3335301868843898
112590035.jpg,0.442485511302948,0.40267369292119803
110590456.jpg,0.4435322880744934,0.39889171076339663
112590025.jpg,0.44367730617523193,0.33917935539228355
112590021.jpg,0.44549646973609924,0.35136100572516044
112590005.jpg,0.4512203335762024,0.4175589700421432
112590024.jpg,0.46550795435905457,0.3064605459632821
112590020.jpg,0.46664324402809143,0.37029140466782823
112590044.jpg,0.4711301922798157,0.44431704543210565
109810011.jpg,0.4850122332572937,0.36830197749683075
112590023.jpg,0.48680993914604187,0.44534475962704906
112590052.jpg,0.4876706600189209,0.2834912141861805
112590060.jpg,0.4890884757041931,0.40206060451121767
112590053.jpg,0.4923194944858551,0.27163558643109176
112590031.jpg,0.4937557578086853,0.271776571924548
112590026.jpg,0.4957112669944763,0.38369682697215196
112590057.jpg,0.5060828924179077,0.35545236695218635
112590007.jpg,0.5110334753990173,0.386646069003909
112590036.jpg,0.5140255093574524,0.3985688790025655
110820009.jpg,0.5158631205558777,0.3473766931143017
111820017.jpg,0.5243886113166809,0.3406598756676966
112590029.jpg,0.5277103185653687,0.46108927865091404
112590022.jpg,0.5286182165145874,0.38905537708155835
112590017.jpg,0.5294163227081299,0.38432198959100655
112590013.jpg,0.5316957235336304,0.44592913085990604
112590038.jpg,0.538644552230835,0.3766891441634792
112590033.jpg,0.5399203896522522,0.3972790118328641
112590014.jpg,0.5422866940498352,0.44653162921750056
112590004.jpg,0.5425145626068115,0.3934084875305695
112590041.jpg,0.5439760088920593,0.3674423152373039
112ab0053.jpg,0.5448676347732544,0.41517320135956104
111332012.jpg,0.5576015114784241,0.3694963448052826
112590009.jpg,0.5648090839385986,0.32078241972546145
112590003.jpg,0.5679477453231812,0.381888682033147
112590012.jpg,0.5986086130142212,0.4392934627591363
113378043.jpg,0.6092522144317627,0.33019647792356444
112590030.jpg,0.6211026906967163,0.3779802097883545
110590041.jpg,0.6668455600738525,0.370146590363055
